schlencker	schlenker	7	19	119
shuster	schuster	39	294	842
scholes	scoles	19	670	168
shelburne	shelburn	5	69	45
shiflet	shiflett	8	110	191
shifflett	shiflett	12	222	191
shue	shoe	13	172	110
stroble	strobel	15	93	326
tily	tiley	6	31	251
trudget	trudgett	6	16	80
utley	uttley	18	597	265
vary	varey	5	93	117
watchman	watcham	5	56	40
wiswell	wiswall	6	111	75
dallaire	allaire	10	182	282
alaire	allaire	8	37	282
aylsworth	aylesworth	5	64	144
beemer	beamer	10	156	310
baudet	beaudet	5	54	137
beaudette	beaudet	10	82	137
breault	brault	20	205	231
bro	brault	11	116	231
chesnut	chestnut	27	215	489
clooney	cloney	6	204	50
cosgrave	cosgrove	30	147	1149
delany	delaney	100	420	2731
laronde	delaronde	6	81	29
deshaies	deshayes	5	94	26
dingess	dingus	5	86	108
dicus	dycus	7	107	111
dine	dyne	6	142	65
edmunds	edmonds	178	1433	2407
eisenman	eisenmann	5	97	76
ellement	element	8	26	68
ehrhardt	erhardt	12	186	136
eyers	eyres	16	216	360
hagmann	hagman	5	40	152
harvell	harvill	8	233	113
harville	harvill	10	172	113
hodkinson	hodgkinson	51	384	1082
holesapple	holsapple	5	21	107
kieffer	keiffer	11	339	115
keifer	keiffer	9	265	115
kroeger	kroger	14	224	147
lamon	lamons	6	155	57
levy	levi	111	2712	808
mcmullin	macmullin	13	512	47
mccomb	mccombs	26	533	431
mcneil	mcneill	123	2445	1459
mountstephens	mountstephen	6	33	29
mumma	muma	7	151	58
night	nite	6	225	22
nutbeem	nutbeam	7	25	23
palladino	paladino	5	130	103
perri	peri	5	183	38
perks	perkes	18	736	110
quartley	quartly	6	34	35
renison	rennison	6	47	204
sarazin	sarrazin	11	78	96
sarrasin	sarrazin	5	31	96
schoenberger	schonberger	6	150	43
sokal	sokol	5	25	201
tallis	talliss	6	112	22
thynne	thyne	7	138	53
tinnell	tinnel	5	52	35
truman	trueman	91	1009	663
varden	vardon	8	88	88
viles	vile	9	199	180
voncannon	vuncannon	6	34	37
wellfare	welfare	8	34	143
whitebread	whitbread	13	120	444
whitehorne	whitehorn	11	44	249
whithorn	whitehorn	10	29	249
wimberly	wimberley	19	378	132
wixon	wixson	6	135	78
yater	yeater	6	42	97
beake	beak	8	69	82
beams	beames	15	200	153
beverley	beverly	26	334	528
bloch	block	51	400	1169
bohm	boehm	19	221	581
bromhead	broomhead	10	89	286
bullcock	bulcock	5	24	117
bumpstead	bumstead	5	46	182
coniff	conniff	5	30	74
coope	coop	15	189	365
crossley	crosley	49	1572	282
donohue	donoghue	38	1088	693
dimond	dymond	21	427	454
elmes	elms	24	269	491
fermer	fermor	5	35	112
fettis	fettes	6	30	63
folly	folley	11	67	201
fullmer	fulmer	18	166	527
gattrell	gatrell	5	39	117
gebhart	gephart	11	264	199
glackin	glacken	5	62	62
glasspool	glasspoole	5	109	37
gratton	graton	17	499	58
holmquist	holmqvist	6	185	70
holmkvist	holmqvist	6	16	70
kimberley	kimberly	23	330	208
knittle	knittel	7	61	82
lamond	lamont	26	266	976
learmonth	learmouth	8	144	78
lenny	lenney	5	90	69
lynn	linn	107	2527	1137
liles	lyles	50	626	723
limer	lymer	10	68	109
malcomson	malcolmson	7	71	85
mainville	mayville	5	128	75
maloney	moloney	112	2559	690
molony	moloney	25	140	690
murtimer	mutimer	5	6	111
meyler	myler	5	50	107
rousey	rowsey	5	85	75
samuell	samwell	5	32	50
sims	simms	368	6411	2657
sneed	snead	46	837	630
southey	southee	9	160	55
voight	voigt	42	283	434
yeats	yeates	32	378	739
